alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,loss/diffusion,rollout_info/num_transitions,rollout_info/reward_mean,timestep
6.141131752490987,652.5,241.62336393652,24.041050760638562,13.618774744413026,-27285.287712890586,0.5308107402953335,61152.459718750004,61057.43957421874,2.2374961961759296e-05,50000.0,4.059462886329736,324000
5.550608747482298,147.1,11.605602095539895,0.409836670311978,0.39028425311425335,-26404.364791015647,0.4031834614252439,57762.37233398432,57668.658539062475,2.060679915484798e-05,50000.0,4.159197744764481,325000
5.179964695453638,284.4,296.47536153953837,7.753792888596702,8.191482542139418,-25450.51726953125,0.3365097394375766,50908.39440234373,50223.041783203065,2.143099146087481e-05,50000.0,4.155953165712969,326000
4.781154532909405,224.9,87.28052474636023,1.8096248325634012,1.2273519920904588,-24515.790763671896,0.27240345423907325,47705.921728515656,47127.977718750066,2.1637124567860153e-05,50000.0,4.134645720009131,327000
4.5263110642433,126.8,73.0969219598199,1.5087549996916791,1.1240890542835935,-23604.865203124977,0.22889902204430937,45656.658375000006,45088.877300781205,2.1716157934861275e-05,50000.0,4.136046432252634,328000
4.315020999431614,531.3,322.2880854142765,11.010627086525854,7.346533654063696,-22715.545042968763,0.06469713978655643,43673.69786328128,43860.69510351569,2.1430901886560666e-05,50000.0,4.131435021495065,329000
4.241809070110324,512.1,344.9186715734595,9.809067837909392,8.414927558574275,-21866.968244140608,0.03951083133579232,41134.18669140628,40813.52151757807,2.0125642940001794e-05,50000.0,4.153021464067303,330000
4.097760076761242,53.9,6.729784543356496,-0.269981555102375,0.02630900618897272,-21063.087048828133,0.1468515850810871,41518.53767968749,41107.914009765664,2.1970624204186625e-05,50000.0,4.151468732402187,331000
3.878964794397355,61.2,0.6,-0.1801364160659837,-0.01739813766466508,-20321.351328125034,0.14806646862705214,39095.00004687502,38515.36751562504,2.1260017600980128e-05,50000.0,4.133511148431388,332000
3.7319480063915256,77.4,28.583911558777256,0.25915127213575173,0.6182318860493088,-19598.573660156224,0.05214274510240647,35838.681757812556,35654.62112890628,1.9932813384002616e-05,50000.0,4.148741002863778,333000
3.6738935594558693,235.7,121.29884583127738,4.229987098235877,1.26734839208743,-18897.477041015667,0.027172645371232703,34777.692261718716,34227.153361328055,2.2270868180385166e-05,50000.0,4.144157531889783,334000
3.605412893295285,356.1,332.0868711647601,7.386274889372611,7.7480337953990075,-18239.294261718816,0.06358988448396494,31903.419526367208,31184.567449218746,1.9473849083624372e-05,50000.0,4.13805133440621,335000
3.5293766469955443,194.7,45.46658113383939,6.73481880574349,2.3810895237559677,-17636.428535156232,0.024250197196659443,29572.789808593774,28354.83557812503,2.0882310882370805e-05,50000.0,4.0900442868074585,336000
3.433831677675253,219.0,13.046072205840346,7.390178570012387,0.22563134504919377,-17055.033291015596,0.07922499674643027,26932.3793271484,26097.289324218724,2.1016805115323213e-05,50000.0,4.10949147789624,337000
3.362477444648743,260.0,246.8785126332383,9.72039549341297,6.789786262760539,-16467.17778710937,0.03519376407837269,22936.450479492254,22553.42039062498,2.0727236930724768e-05,50000.0,4.115768553956707,338000
3.2328387634754225,643.3,358.1198263151595,21.34521453924426,9.922997872010285,-15867.056937500009,0.0784813210715656,22224.67014257815,21625.185853515566,2.1173595303480395e-05,50000.0,4.124330801319783,339000
3.1564317498207113,677.1,332.5349455320448,19.912845878602738,7.2220127749593255,-15269.430838867172,0.05454264614657952,20232.24019726567,19470.030254882804,1.9264702152213434e-05,50000.0,4.126421228554017,340000
3.0825584306716927,266.2,249.91950704176733,7.932627231366831,5.687325844473203,-14685.624772460935,0.03161648144715581,20483.66974902344,20059.328634765607,2.03299804297785e-05,50000.0,4.103544704059683,341000
3.005907718896867,360.4,247.00129554316106,12.32112708958391,6.261418336962096,-14119.878370117181,0.04079835754732031,19219.88618750001,18886.645819335925,2.1402135967036888e-05,50000.0,4.119720544814759,342000
2.9765067031383494,424.9,252.9143926311826,18.470604985878357,10.774089437449772,-13592.697191406243,0.004964517665706807,18517.9178847656,18239.96730566403,2.12931619798837e-05,50000.0,4.10547421580925,343000
2.9207831754684417,777.1,282.133461326373,25.625049472532567,8.027423900460775,-13084.637864257811,0.045255275954434175,16641.268574218757,16220.94556152341,1.9800829575160584e-05,50000.0,4.116100858935134,344000
