eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/critic1,loss/critic2,timestep
428.0,2.6076809620810595,40.99845198492073,0.9329672244096121,-2.348178556919097,0.09170962045527971,0.0838774717468768,1000
450.1,14.949581933953871,43.601758716721164,2.395201542685301,-2.4089511599540785,0.10734315331280232,0.10275232477672408,2000
493.9,23.72108766477625,48.068294747130786,3.119311289688567,-2.4215506305694556,0.0838103281762451,0.07937644045054927,3000
502.9,14.570175016107392,47.874844584745816,2.589368926932572,-2.4272058448791585,0.08300885181874029,0.07892202599532895,4000
458.2,20.424495097798623,44.71571323997691,2.847977542773596,-2.43043065881729,0.09420459914207462,0.09043643945083013,5000
475.5,79.51006225629558,46.11106525496375,9.11484581992427,-2.4325801715850797,0.1067550542466344,0.10230039570108064,6000
411.8,22.017265951975055,39.64608507925696,3.1869620670585705,-2.43388368368149,0.13448305245116343,0.13213858138024812,7000
427.8,25.158696309626222,41.17478239840229,3.5727650404498212,-2.4349795894622854,0.20179844021424628,0.19278060016408596,8000
574.2,62.35992302753428,55.59884897525602,7.228973877980726,-2.4361167769432086,0.20888162901252494,0.20092556692659802,9000
417.7,24.108297326854085,40.020395551341956,3.5356764955490396,-2.436950697422034,0.2641482284367086,0.26042579541355393,10000
442.1,128.27505603195033,41.206896089013064,13.615568104795589,-2.437343209266666,0.28346945729106615,0.2730841999575501,11000
525.5,47.52104796824245,51.04329869183326,5.749085062676531,-2.438036848068235,0.3073842014297844,0.3047779515385625,12000
522.0,145.9033926953037,49.090647918587536,15.021856470511874,-2.438542709350584,0.34365602254122624,0.3293897860944267,13000
424.8,93.22317308480763,40.187046963511754,10.131979414844437,-2.4390079426765485,0.31605747374892185,0.30088541759550536,14000
413.5,30.090696236544613,39.931563111628776,3.92978046570929,-2.439453862190245,0.3492876700907948,0.33639238913357283,15000
406.7,4.382921400162225,39.96016795272179,1.212475398121989,-2.439677539825441,0.3341611850261682,0.32684267999231814,16000
501.1,24.504897469689606,48.64309487134642,3.119464641403322,-2.439985434532166,0.37137839908897846,0.36344163855910266,17000
423.8,33.38802180423392,41.166278789001886,4.356587281319834,-2.4400811705589276,0.4040683926790947,0.3928840801268808,18000
417.9,23.192455669894034,41.22916019228176,3.430738566333448,-2.4404410448074327,0.4224784235656262,0.4085182198137039,19000
433.5,36.17250336927208,42.20066020014306,4.895683207660563,-2.440906139850622,0.45535298897325993,0.44745197351276894,20000
469.9,82.69758158495326,46.43699989596972,9.604444083937674,-2.441055835247037,0.48116769406199444,0.4662537829279895,21000
465.7,66.4184462329555,45.34865282463782,7.972137282742767,-2.4412433242797875,0.4994334957599642,0.47635544881224584,22000
411.9,16.664033125267125,40.2304660014704,3.0264548439934753,-2.441288519859316,0.5201385388672367,0.49831786367297043,23000
427.1,33.99544087079913,41.9644255103658,4.293239158461729,-2.4413372054100018,0.5477871120572091,0.5237736269831655,24000
475.8,69.73205862442325,46.81148753216942,7.899885935358733,-2.4415600180625954,0.5657906142175174,0.5456309395432488,25000
430.5,34.67347689517162,41.874461255162544,4.772460057187479,-2.4418261299133284,0.5854976501166818,0.5625902595818042,26000
282.8,20.08880285133985,26.19075335453831,2.9634954725979346,-2.44184877204895,0.6201797589361663,0.5978717627227306,27000
519.0,94.00957398052604,51.2042295148178,10.10759900219246,-2.4420210404395966,0.6403459044694902,0.6223973374962807,28000
455.9,47.34226441563606,45.274844296225616,5.794264951911064,-2.4419529943466216,0.6541634075045577,0.6347803359031676,29000
433.4,46.972758062519596,42.39308234973892,5.874635077700853,-2.442583220481872,0.6775297062397012,0.6739379135072232,30000
432.7,32.34516965483409,42.4424565686423,4.583820906886742,-2.44234382581711,0.7071222193837161,0.6934400918781748,31000
414.7,8.474078120952155,40.64568875009929,1.7726762773853797,-2.4427665448188844,0.7219161873161785,0.7115111324191091,32000
434.5,33.517905662496275,43.02572097131964,4.438754547337047,-2.4426849107742314,0.7570328588783731,0.7471870506703849,33000
