loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.43478623,-35.13054329173681,1
0.33844012,-46.1583765253079,2
0.27466106,-49.088144572472004,3
0.23261805,-50.870482690056576,4
0.20898025,-52.14188113585964,5
0.19402182,-53.13987246431113,6
0.17911208,-53.90470701582108,7
0.16819224,-54.618260588567104,8
0.15668735,-55.186959670107285,9
0.14655931,-55.669686370364644,10
0.14294092,-56.14273499495308,11
0.13431844,-56.53637637478502,12
0.1267377,-56.889621564979265,13
0.119993664,-57.223393098155796,14
0.11750499,-57.495663328169556,15
0.11243869,-57.76342444473026,16
0.10805243,-58.058858148168326,17
0.10678764,-58.2791189095706,18
0.10247879,-58.542134837524934,19
0.09852974,-58.70269776759477,20
0.09680394,-58.886734729391875,21
0.095904626,-59.04780468102924,22
0.09533038,-59.26419089211114,23
0.088899545,-59.27966781752119,24
0.089717254,-59.48877543931311,25
0.08819682,-59.37992147120332,26
0.091550015,-59.72960918743794,27
0.084679656,-59.896415434234434,28
0.08500577,-60.019850956389924,29
0.085093126,-59.49496854975577,30
0.08249857,-59.771937029828905,31
0.08288096,-60.0926351326636,32
0.08596226,-60.195214991414915,33
0.08047586,-59.851254753985195,34
0.08129706,-60.138366112965095,35
0.08358541,-59.935822376360974,36
0.07964893,-60.66249145817393,37
0.078591876,-60.41406714749706,38
0.07877838,-60.59269263868712,39
0.07878457,-60.03474651574019,40
0.07921458,-60.438005614094315,41
0.07745242,-60.4031324072494,42
0.077059165,-60.491394932967005,43
0.07992063,-60.108449862719226,44
0.078232564,-60.38836090750806,45
0.08030598,-60.38499914492214,46
0.07583871,-60.78514240106741,47
0.07715085,-59.966639959642585,48
0.0751066,-61.30021769869378,49
0.07746095,-60.25505077159055,50
0.08179065,-60.944980880778125,51
0.074366376,-60.1905604400009,52
0.07566238,-61.04251004096469,53
0.07438515,-61.41256076336579,54
0.08066147,-60.76333129838325,55
0.07539511,-61.6072888380134,56
0.07309899,-61.47777742663057,57
0.07804323,-61.10606153466893,58
0.07467763,-61.331548322336374,59
0.074758425,-61.35894761735715,60
0.07425435,-61.55288290192222,61
0.07474988,-61.843488943862496,62
0.07629104,-61.444964497849895,63
0.07372754,-61.85252057114244,64
0.074611425,-61.383444167430106,65
0.07460998,-61.7012352456378,66
0.0723712,-61.42237415845984,67
0.07476856,-60.70975418557086,68
0.07565321,-61.38847289530876,69
0.07108042,-62.05257815861265,70
0.07229879,-61.6558154352228,71
0.072621964,-61.89197499755406,72
0.07574557,-62.01893128503,73
0.07255687,-61.74191400709327,74
0.070994586,-62.26648103529316,75
0.07125062,-61.99627327350688,76
0.07263072,-61.276748916330696,77
0.07062501,-62.318484941186405,78
0.0765634,-59.02715661500366,79
0.0709476,-61.33879013164187,80
0.07285312,-62.14922833878093,81
0.07134491,-62.15035290564083,82
0.07209342,-61.48908770073687,83
0.06797964,-62.25429047663426,84
0.07239826,-62.2989557646764,85
0.0694421,-61.90538851527026,86
0.08110478,-61.97727748595429,87
0.07286069,-57.91674597783072,88
0.08823911,-57.10221429233534,89
0.073889196,-60.23631070748852,90
0.07344371,-60.44894069044403,91
0.072988026,-60.50716157129418,92
0.07132361,-61.317336538335105,93
0.07037445,-61.69181862547201,94
0.08216693,-62.34230772373112,95
0.06962557,-61.40120221189577,96
0.06894648,-62.24156108447012,97
0.068098664,-61.596208117733276,98
0.07137714,-60.79524321252377,99
0.07027922,-61.382533638107304,100
0.07371799,-55.706456549577375,101
0.07492729,-60.69603485381559,102
