loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.4445862,-34.97079041393601,1
0.35839248,-46.02829462794727,2
0.29487616,-49.01389346867666,3
0.24730012,-50.759129055521356,4
0.21385054,-52.076103743323756,5
0.1898627,-53.12975718072786,6
0.17295727,-53.949909264470286,7
0.1618442,-54.66066160132362,8
0.15393624,-55.23764232805138,9
0.1450605,-55.74293641458639,10
0.13373014,-56.20855736307772,11
0.12652612,-56.590059484012244,12
0.12051759,-56.96916968611957,13
0.11445069,-57.325651248754426,14
0.11104353,-57.61344262005411,15
0.10758619,-57.86136519449056,16
0.10579401,-58.13854925568006,17
0.10156946,-58.299315906374574,18
0.10042582,-58.58280707866156,19
0.09666852,-58.800220954911644,20
0.09638745,-59.04163032511205,21
0.09210732,-59.0362387166701,22
0.09287864,-59.340676068740215,23
0.09092151,-59.538230799687575,24
0.09046762,-59.70004313257616,25
0.08751495,-59.70398536028502,26
0.086849116,-59.96739933390839,27
0.086791515,-59.74102349570359,28
0.085681155,-59.99395722253925,29
0.08344729,-60.185238530081875,30
0.08222719,-60.29855338002143,31
0.082646236,-60.35180808861378,32
0.08112301,-60.22788708270795,33
0.07923775,-60.509143300871045,34
0.08064295,-60.542874895516505,35
0.08317942,-60.167718766424024,36
0.08044567,-60.483386576152775,37
0.0806507,-60.43692322252775,38
0.0811561,-60.584446351925074,39
0.07934202,-60.52049049823296,40
0.07772224,-60.62619864691622,41
0.074948475,-60.77595963154819,42
0.0748183,-60.6742174004219,43
0.07639227,-60.70107880238156,44
0.07386936,-60.87368737149511,45
0.0732012,-61.091160590810894,46
0.07409616,-61.09477602462348,47
0.07387129,-60.508876375643,48
0.07283743,-61.48496241809679,49
0.07160987,-61.275473980144035,50
0.07193996,-61.246775522486274,51
0.07207272,-60.78295803668941,52
0.072634794,-60.55588924061346,53
0.0735838,-60.63876348675084,54
0.07283544,-59.91624505239069,55
0.07143371,-60.19335338666961,56
0.07129639,-60.774379339994844,57
0.07134114,-60.678865386357174,58
0.07013005,-60.930291946310426,59
0.071510285,-60.84478205417221,60
0.07167734,-61.14646504705386,61
0.07161622,-60.582119952955566,62
0.070695266,-60.89844810249224,63
0.06977061,-61.20792650708965,64
0.0690889,-61.15787630406279,65
0.06813752,-61.86964507214797,66
0.067749955,-60.53745987096628,67
0.06935652,-61.31455233157269,68
0.070048705,-61.77171702316506,69
0.06852732,-61.553201228261806,70
0.069432005,-61.930621778080436,71
0.06758464,-61.47223581825329,72
0.06625967,-62.162425399055756,73
0.06603737,-61.07605193144967,74
0.068231024,-61.72139977889383,75
0.06623337,-61.98878942616976,76
0.06582478,-61.088127734736574,77
0.066630915,-61.60443297138921,78
0.06574391,-61.25547526525287,79
0.06595527,-61.89982862727972,80
0.06406551,-62.13469898207255,81
0.06671659,-61.46255861831356,82
0.069997236,-61.24875349765036,83
0.064658985,-61.97468891966332,84
0.0637133,-60.68826621241498,85
0.06433837,-61.50213170380038,86
0.067988046,-61.28948616315413,87
0.06473491,-61.330519978822565,88
0.064367056,-62.34685387142985,89
0.06410058,-62.50080160775063,90
0.06368155,-62.318985914750144,91
0.06867059,-62.03581487510688,92
0.06272607,-62.42769766128875,93
0.064226374,-62.189587430283,94
0.061165012,-62.711615168894006,95
0.060357165,-62.989683775019984,96
0.061698794,-61.91820872919263,97
0.063441396,-61.96829353539314,98
0.061473727,-61.8493077323236,99
0.06648894,-62.4416332693111,100
0.061017007,-61.717441396378376,101
0.06262187,-61.90446781653801,102
0.06267351,-61.63679158686064,103
0.0666448,-61.6606924285434,104
0.06278519,-61.90184769382328,105
0.06461504,-60.98745707360717,106
0.06315513,-60.9756374230801,107
0.06580101,-60.952114268020225,108
0.059038132,-61.2176588230006,109
0.060868204,-61.428621160790016,110
0.07137255,-62.02645559639682,111
0.064268336,-61.4195299952149,112
0.06764502,-61.49505197098969,113
0.07588521,-61.57331434983436,114
0.061098106,-62.175377888464396,115
0.063316606,-62.19237530746323,116
0.067160785,-61.34514817570656,117
0.058834173,-61.72039845948279,118
0.05718968,-60.70227933153042,119
0.06306167,-60.97266192276111,120
0.06342931,-62.502492406712605,121
0.06126348,-62.287902335027965,122
0.060404368,-61.85872375966646,123
0.060313474,-61.85812259096221,124
0.061756708,-61.575405809706055,125
0.06239859,-61.42064981529014,126
